parking_lot_number,Timestamp,Occupancy,VehicleType_weighted,traffic_condition_weighted,QueueLength,IsSpecialDay,Capacity,Latitude,Longitude
0,2016-10-04 07:59:00,61,1.0,0,1,0,577,26.14453614,91.73617216
1,2016-10-04 07:59:00,237,0.7,0,2,0,1200,26.14001386,91.73099967
2,2016-10-04 07:59:00,264,1.0,0,2,0,687,20.0000347,78.00000286
3,2016-10-04 07:59:00,249,1.0,0,2,0,485,26.14004753,91.73097233
4,2016-10-04 07:59:00,614,0.5,0,2,0,1920,26.15050395,91.73353109
5,2016-10-04 07:59:00,117,1.0,0,2,0,470,26.14901995,91.7395035
6,2016-10-04 07:59:00,178,1.0,0,2,0,690,26.13795775,91.74099445
7,2016-10-04 07:59:00,445,0.7,1,3,0,1322,26.14754886,91.72799519
8,2016-10-04 07:59:00,709,1.0,0,2,0,2009,26.14747299,91.72804914
9,2016-10-04 07:59:00,195,1.0,0,1,0,2803,26.14754061,91.72797041
10,2016-10-04 07:59:00,120,1.0,0,2,0,387,26.14449459,91.73620513
11,2016-10-04 07:59:00,1081,1.0,0,2,0,3883,26.14749943,91.72800489
12,2016-10-04 07:59:00,547,0.7,0,2,0,2937,26.14749053,91.72799688
13,2016-10-04 07:59:00,588,1.0,1,2,0,3103,26.14749998,91.72797778
7,2016-10-04 08:25:00,478,1.5,0,2,0,1322,26.14754886,91.72799519
3,2016-10-04 08:25:00,267,1.5,0,2,0,485,26.14004753,91.73097233
8,2016-10-04 08:25:00,780,1.0,1,3,0,2009,26.14747299,91.72804914
12,2016-10-04 08:25:00,665,1.0,0,2,0,2937,26.14749053,91.72799688
11,2016-10-04 08:25:00,1467,0.7,0,3,0,3883,26.14749943,91.72800489
10,2016-10-04 08:25:00,129,1.0,1,2,0,387,26.14449459,91.73620513
2,2016-10-04 08:25:00,302,1.0,0,1,0,687,20.0000347,78.00000286
5,2016-10-04 08:25:00,174,0.7,0,1,0,470,26.14901995,91.7395035
13,2016-10-04 08:25:00,678,0.7,1,3,0,3103,26.14749998,91.72797778
6,2016-10-04 08:25:00,269,1.0,0,2,0,690,26.13795775,91.74099445
9,2016-10-04 08:25:00,238,1.0,1,2,0,2803,26.14754061,91.72797041
4,2016-10-04 08:25:00,761,1.0,0,2,0,1920,26.15050395,91.73353109
1,2016-10-04 08:25:00,315,0.7,0,2,0,1200,26.14001386,91.73099967
0,2016-10-04 08:25:00,64,1.0,0,1,0,577,26.14453614,91.73617216
7,2016-10-04 08:59:00,518,1.0,1,3,0,1322,26.14754886,91.72799519
10,2016-10-04 08:59:00,155,1.0,0,2,0,387,26.14449459,91.73620513
